bfs:problem1.txt, time(s):0.000394105911255, states:42, steps:14
dfs:problem1.txt, time(s):0.00056004524231, states:63, steps:16
astar:problem1.txt, time(s):0.000531911849976, states:39, steps:14
bastar:problem1.txt, time(s):0.000627040863037, states:53, steps:14
rbfs:problem1.txt, time(s):0.000436067581177, states:65, steps:14
rdfs:problem1.txt, time(s):0.000624895095825, states:51, steps:16
bbfs:problem1.txt, time(s):0.000493049621582, states:59, steps:14
bdfs:problem1.txt, time(s):0.000438928604126, states:46, steps:16
bfs:problem2.txt, time(s):0.00275206565857, states:247, steps:32
dfs:problem2.txt, time(s):0.00213098526001, states:209, steps:40
astar:problem2.txt, time(s):0.00404405593872, states:239, steps:32
bastar:problem2.txt, time(s):0.00266695022583, states:167, steps:34
rbfs:problem2.txt, time(s):0.00223994255066, states:300, steps:34
rdfs:problem2.txt, time(s):0.000771999359131, states:104, steps:54
bbfs:problem2.txt, time(s):0.00259399414062, states:175, steps:34
bdfs:problem2.txt, time(s):0.0012891292572, states:135, steps:54
bfs:problem3.txt, time(s):0.0313138961792, states:2985, steps:89
dfs:problem3.txt, time(s):0.0234069824219, states:2114, steps:285
astar:problem3.txt, time(s):0.0556769371033, states:2918, steps:89
bastar:problem3.txt, time(s):0.0425958633423, states:2513, steps:94
rbfs:problem3.txt, time(s):0.0510060787201, states:5308, steps:94
rdfs:problem3.txt, time(s):0.0341551303864, states:3353, steps:194
bbfs:problem3.txt, time(s):0.0297210216522, states:2546, steps:94
bdfs:problem3.txt, time(s):0.0437061786652, states:3175, steps:290
bfs:problem4.txt, time(s):0.0175089836121, states:1428, steps:76
dfs:problem4.txt, time(s):0.0241310596466, states:1279, steps:154
astar:problem4.txt, time(s):0.0310428142548, states:1412, steps:76
bastar:problem4.txt, time(s):0.0210361480713, states:1107, steps:78
rbfs:problem4.txt, time(s):0.0105550289154, states:1247, steps:78
rdfs:problem4.txt, time(s):0.0109391212463, states:1076, steps:154
bbfs:problem4.txt, time(s):0.01322889328, states:1143, steps:78
bdfs:problem4.txt, time(s):0.0077428817749, states:578, steps:126
